network_packet_size,network_packet_rate,network_protocol,hash_mismatch_rate,smart_contract_violation,transaction_latency_drift,device_activity_variance,vital_stats_stability,response_time_deviation,threat_label,trigger_reason
1017,480.66,0,0.066,0,0.118,0.455,0.064,0.02,1,"network_packet_rate, hash_mismatch_rate, vital_stats_stability"
773,383.39,1,0.028,1,0.136,0.905,0.322,0.334,1,"network_packet_rate, network_protocol, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
1484,25.23,0,0.112,0,0.459,0.522,0.432,0.368,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1107,130.83,1,0.053,1,0.051,0.306,0.213,0.39,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
571,329.32,0,0.114,0,0.185,0.347,0.201,0.037,1,"network_packet_rate, hash_mismatch_rate, vital_stats_stability"
1413,351.46,0,0.046,0,0.279,0.883,0.653,0.133,1,"network_packet_size, network_packet_rate, transaction_latency_drift, device_activity_variance"
1121,428.22,1,0.06,0,0.081,0.835,0.887,0.127,1,"network_packet_rate, network_protocol, hash_mismatch_rate, device_activity_variance"
665,95.71,1,0.127,1,0.288,0.947,0.169,0.429,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1488,122.94,1,0.091,0,0.454,0.135,0.722,0.45,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
494,96.65,0,0.028,1,0.274,0.596,0.753,0.171,1,"smart_contract_violation, transaction_latency_drift"
523,334.78,1,0.092,1,0.254,0.718,0.64,0.234,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1245,34.95,0,0.116,0,0.458,0.836,0.983,0.325,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
439,74.28,0,0.075,1,0.3,0.137,0.9,0.495,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
548,107.33,1,0.169,0,0.029,0.622,0.41,0.432,1,"network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
990,229.63,0,0.165,0,0.169,0.413,0.491,0.387,1,"hash_mismatch_rate, response_time_deviation"
1084,26.04,1,0.149,1,0.411,0.551,0.096,0.266,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1321,352.92,1,0.157,1,0.462,0.682,0.119,0.23,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1244,317.06,1,0.104,0,0.022,0.053,0.165,0.105,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, vital_stats_stability"
634,240.13,0,0.082,1,0.337,0.734,0.524,0.334,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
623,97.41,1,0.153,0,0.499,0.316,0.641,0.308,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
938,495.87,1,0.026,0,0.024,0.738,0.459,0.167,1,"network_packet_rate, network_protocol, device_activity_variance"
539,122.35,0,0.189,0,0.345,0.146,0.043,0.47,1,"hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
741,222.49,0,0.075,1,0.046,0.279,0.764,0.193,1,"hash_mismatch_rate, smart_contract_violation"
836,291.4,0,0.109,0,0.14,0.108,0.693,0.324,1,"hash_mismatch_rate, response_time_deviation"
413,325.79,1,0.035,0,0.255,0.383,0.685,0.063,1,"network_packet_rate, network_protocol, transaction_latency_drift"
858,468.37,0,0.008,1,0.099,0.13,0.392,0.016,1,"network_packet_rate, smart_contract_violation, vital_stats_stability"
1283,363.32,1,0.03,1,0.355,0.651,0.01,0.106,1,"network_packet_size, network_packet_rate, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability"
673,484.88,1,0.087,1,0.29,0.017,0.644,0.196,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
464,371.3,1,0.112,0,0.071,0.731,0.737,0.446,1,"network_packet_rate, network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
213,471.11,1,0.121,0,0.352,0.786,0.247,0.083,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
615,398.68,1,0.153,1,0.144,0.294,0.095,0.147,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
1258,476.41,0,0.029,0,0.233,0.858,0.855,0.334,1,"network_packet_size, network_packet_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
525,162.25,1,0.106,1,0.139,0.845,0.958,0.119,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
365,329.7,0,0.048,0,0.203,0.268,0.516,0.163,1,"network_packet_rate, transaction_latency_drift"
913,325.65,0,0.16,0,0.224,0.162,0.689,0.252,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
846,105.03,1,0.157,0,0.495,0.377,0.374,0.371,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
578,391.77,0,0.029,1,0.005,0.833,0.529,0.05,1,"network_packet_rate, smart_contract_violation, device_activity_variance"
1347,193.54,1,0.191,0,0.069,0.089,0.714,0.313,1,"network_packet_size, network_protocol, hash_mismatch_rate, response_time_deviation"
1459,280.66,1,0.099,0,0.471,0.315,0.05,0.125,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1444,307.57,1,0.138,1,0.06,0.354,0.035,0.389,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
533,343.52,1,0.02,0,0.169,0.511,0.163,0.018,1,"network_packet_rate, network_protocol, vital_stats_stability"
827,226.56,0,0.177,1,0.056,0.938,0.055,0.386,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
353,187.82,0,0.153,0,0.15,0.972,0.507,0.102,1,"hash_mismatch_rate, device_activity_variance"
245,246.59,1,0.176,0,0.271,0.074,0.225,0.404,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
776,443.73,0,0.072,1,0.145,0.04,0.8,0.316,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
1417,25.71,0,0.133,0,0.086,0.304,0.21,0.215,1,"network_packet_size, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
1095,365.0,0,0.079,1,0.072,0.052,0.823,0.244,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
1223,254.16,1,0.012,1,0.499,0.881,0.464,0.068,1,"network_packet_size, network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance"
222,489.38,0,0.041,0,0.274,0.355,0.19,0.364,1,"network_packet_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1261,322.75,0,0.07,0,0.21,0.782,0.114,0.125,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
1038,377.25,0,0.189,1,0.478,0.342,0.939,0.167,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
1218,134.1,0,0.122,0,0.492,0.876,0.84,0.024,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
834,474.3,1,0.149,1,0.466,0.01,0.133,0.128,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
1123,200.59,0,0.036,1,0.076,0.995,0.869,0.243,1,"smart_contract_violation, device_activity_variance, response_time_deviation"
380,79.06,0,0.105,1,0.311,0.21,0.575,0.143,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
688,390.23,1,0.146,0,0.149,0.251,0.685,0.039,1,"network_packet_rate, network_protocol, hash_mismatch_rate"
1194,199.53,1,0.079,1,0.295,0.542,0.533,0.458,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1279,218.61,1,0.131,0,0.226,0.924,0.95,0.236,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
294,92.39,1,0.063,1,0.277,0.42,0.352,0.413,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1066,48.24,0,0.071,1,0.225,0.111,0.724,0.178,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
1343,455.38,1,0.076,0,0.091,0.747,0.566,0.031,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, device_activity_variance"
415,182.86,1,0.022,0,0.298,0.832,0.933,0.113,1,"network_protocol, transaction_latency_drift, device_activity_variance"
1457,461.47,0,0.168,1,0.025,0.661,0.361,0.421,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability, response_time_deviation"
714,180.21,1,0.06,0,0.092,0.74,0.595,0.435,1,"network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
316,285.98,1,0.026,0,0.386,0.734,0.598,0.45,1,"network_protocol, transaction_latency_drift, device_activity_variance, response_time_deviation"
971,48.19,1,0.017,1,0.336,0.462,0.474,0.093,1,"network_protocol, smart_contract_violation, transaction_latency_drift"
1237,235.38,1,0.084,1,0.012,0.389,0.167,0.381,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
1274,287.43,0,0.036,1,0.074,0.385,0.579,0.356,1,"network_packet_size, smart_contract_violation, response_time_deviation"
777,299.12,0,0.071,1,0.029,0.259,0.834,0.11,1,"hash_mismatch_rate, smart_contract_violation"
781,222.26,1,0.134,0,0.055,0.252,0.882,0.309,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
483,329.97,1,0.125,1,0.204,0.522,0.1,0.216,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
807,165.65,0,0.035,0,0.006,0.508,0.584,0.028,0,None
1431,223.16,1,0.14,0,0.337,0.334,0.098,0.317,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
590,238.66,0,0.027,1,0.092,0.475,0.606,0.247,1,"smart_contract_violation, response_time_deviation"
1405,95.06,0,0.155,0,0.255,0.946,0.8,0.369,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1099,75.59,1,0.015,1,0.251,0.921,0.711,0.106,1,"network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance"
910,173.2,1,0.171,0,0.345,0.968,0.76,0.207,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
924,283.63,1,0.198,0,0.143,0.734,0.444,0.02,1,"network_protocol, hash_mismatch_rate, device_activity_variance"
1265,213.76,1,0.163,1,0.091,0.617,0.142,0.054,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
294,81.99,1,0.114,0,0.06,0.608,0.042,0.335,1,"network_protocol, hash_mismatch_rate, device_activity_variance, vital_stats_stability, response_time_deviation"
1224,16.85,1,0.061,0,0.35,0.97,0.059,0.204,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1453,57.25,1,0.021,0,0.362,0.687,0.314,0.306,1,"network_packet_size, network_protocol, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
395,261.66,1,0.005,0,0.122,0.113,0.728,0.012,1,network_protocol
1376,291.26,1,0.139,0,0.319,0.705,0.456,0.245,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
440,477.31,0,0.089,1,0.423,0.638,0.03,0.391,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1075,63.5,1,0.079,1,0.172,0.459,0.001,0.273,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
502,388.96,1,0.057,1,0.044,0.389,0.327,0.012,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
886,167.43,0,0.186,1,0.069,0.347,0.791,0.137,1,"hash_mismatch_rate, smart_contract_violation"
313,413.7,0,0.185,0,0.073,0.108,0.164,0.464,1,"network_packet_rate, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
982,43.61,1,0.099,0,0.328,0.159,0.826,0.226,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1089,17.02,1,0.173,0,0.165,0.029,0.289,0.306,1,"network_protocol, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
443,170.52,0,0.01,1,0.141,0.947,0.492,0.095,1,"smart_contract_violation, device_activity_variance"
1255,242.68,0,0.007,1,0.301,0.383,0.687,0.216,1,"network_packet_size, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1163,65.69,1,0.197,1,0.134,0.458,0.663,0.158,1,"network_protocol, hash_mismatch_rate, smart_contract_violation"
824,189.87,0,0.188,0,0.035,0.606,0.673,0.14,1,"hash_mismatch_rate, device_activity_variance"
467,59.25,1,0.051,1,0.468,0.899,0.966,0.469,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
716,274.81,1,0.148,1,0.244,0.12,0.388,0.144,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
496,182.63,1,0.099,1,0.361,0.601,0.972,0.475,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1110,90.7,1,0.037,1,0.063,0.014,0.093,0.302,1,"network_protocol, smart_contract_violation, vital_stats_stability, response_time_deviation"
460,331.94,1,0.13,0,0.157,0.405,0.76,0.162,1,"network_packet_rate, network_protocol, hash_mismatch_rate"
1463,481.02,0,0.084,0,0.282,0.417,0.973,0.455,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
705,41.31,0,0.123,0,0.353,0.808,0.102,0.423,1,"hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
552,71.68,0,0.164,1,0.287,0.535,0.127,0.331,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1358,482.73,0,0.068,1,0.04,0.153,0.008,0.37,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, vital_stats_stability, response_time_deviation"
840,44.03,1,0.194,0,0.428,0.974,0.984,0.15,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
1115,246.21,1,0.113,0,0.176,0.029,0.761,0.066,1,"network_protocol, hash_mismatch_rate"
887,39.54,1,0.196,1,0.459,0.969,0.134,0.246,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1478,60.74,1,0.076,1,0.339,0.558,0.861,0.051,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
828,254.61,1,0.095,0,0.257,0.413,0.626,0.219,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
1494,361.05,1,0.107,0,0.03,0.765,0.846,0.203,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
599,294.03,1,0.087,1,0.312,0.528,0.709,0.054,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
376,133.34,0,0.07,0,0.14,0.647,0.837,0.272,1,"hash_mismatch_rate, device_activity_variance, response_time_deviation"
1207,344.97,1,0.194,1,0.033,0.643,0.692,0.239,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
731,247.37,1,0.045,1,0.339,0.318,0.195,0.134,1,"network_protocol, smart_contract_violation, transaction_latency_drift, vital_stats_stability"
486,181.63,1,0.08,1,0.274,0.632,0.413,0.38,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1362,39.02,1,0.034,0,0.376,0.121,0.599,0.021,1,"network_packet_size, network_protocol, transaction_latency_drift"
537,304.01,0,0.083,1,0.208,0.796,0.961,0.263,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
365,5.69,1,0.033,0,0.229,0.729,0.391,0.059,1,"network_protocol, transaction_latency_drift, device_activity_variance, vital_stats_stability"
387,247.19,0,0.02,0,0.029,0.219,0.137,0.298,1,"vital_stats_stability, response_time_deviation"
1008,371.48,1,0.077,0,0.308,0.043,0.139,0.229,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
383,445.54,0,0.154,0,0.068,0.957,0.281,0.054,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance, vital_stats_stability"
824,299.62,0,0.055,1,0.297,0.064,0.91,0.314,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1216,47.87,0,0.013,1,0.282,0.814,0.535,0.272,1,"network_packet_size, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
1115,457.4,1,0.162,0,0.317,0.988,0.774,0.189,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance"
1478,402.26,0,0.18,0,0.223,0.608,0.543,0.251,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
1217,173.19,1,0.095,1,0.139,0.868,0.943,0.031,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
424,221.58,1,0.091,1,0.016,0.651,0.876,0.175,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
963,379.1,1,0.159,1,0.321,0.591,0.038,0.399,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1419,256.95,1,0.006,0,0.355,0.179,0.197,0.361,1,"network_packet_size, network_protocol, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1310,186.17,0,0.096,0,0.192,0.525,0.242,0.407,1,"network_packet_size, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
1400,386.82,1,0.133,0,0.229,0.028,0.144,0.499,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1351,378.62,1,0.176,1,0.181,0.05,0.688,0.011,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation"
995,391.14,0,0.078,0,0.073,0.091,0.164,0.452,1,"network_packet_rate, hash_mismatch_rate, vital_stats_stability, response_time_deviation"
578,469.73,0,0.12,0,0.185,0.711,0.67,0.429,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance, response_time_deviation"
534,13.22,0,0.179,0,0.303,0.502,0.438,0.193,1,"hash_mismatch_rate, transaction_latency_drift"
1376,488.06,1,0.188,1,0.314,0.471,0.227,0.318,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1082,90.0,1,0.062,1,0.062,0.487,0.526,0.326,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
814,22.57,1,0.17,1,0.115,0.072,0.565,0.075,1,"network_protocol, hash_mismatch_rate, smart_contract_violation"
1333,496.7,1,0.162,0,0.351,0.512,0.305,0.231,1,"network_packet_size, network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
521,285.22,1,0.165,1,0.142,0.09,0.607,0.278,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
957,210.41,0,0.107,0,0.389,0.559,0.721,0.406,1,"hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
506,467.78,0,0.051,1,0.281,0.809,0.531,0.209,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
932,138.07,1,0.017,1,0.413,0.82,0.89,0.441,1,"network_protocol, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
502,59.39,1,0.042,1,0.2,0.391,0.161,0.051,1,"network_protocol, smart_contract_violation, vital_stats_stability"
937,185.14,1,0.077,0,0.03,0.017,0.745,0.149,1,"network_protocol, hash_mismatch_rate"
750,324.63,0,0.145,1,0.234,0.414,0.596,0.377,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
661,115.64,1,0.097,1,0.121,0.506,0.262,0.096,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, vital_stats_stability"
1047,450.28,1,0.142,1,0.179,0.669,0.04,0.055,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
1074,243.9,1,0.14,0,0.495,0.334,0.088,0.331,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1143,201.23,1,0.098,0,0.4,0.88,0.496,0.239,1,"network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
799,419.23,0,0.198,1,0.481,0.511,0.107,0.256,1,"network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1009,103.68,0,0.068,1,0.393,0.141,0.362,0.386,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, vital_stats_stability, response_time_deviation"
1138,239.55,0,0.076,0,0.027,0.774,0.343,0.256,1,"hash_mismatch_rate, device_activity_variance, vital_stats_stability, response_time_deviation"
1183,107.02,1,0.167,1,0.433,0.83,0.747,0.045,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
344,452.97,1,0.025,1,0.158,0.243,0.407,0.489,1,"network_packet_rate, network_protocol, smart_contract_violation, response_time_deviation"
969,237.56,0,0.05,0,0.263,0.287,0.326,0.439,1,"transaction_latency_drift, vital_stats_stability, response_time_deviation"
1279,340.49,0,0.044,1,0.14,0.631,0.948,0.348,1,"network_packet_size, network_packet_rate, smart_contract_violation, device_activity_variance, response_time_deviation"
675,361.77,1,0.115,1,0.203,0.381,0.599,0.362,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
1343,453.86,0,0.133,1,0.418,0.628,0.439,0.085,1,"network_packet_size, network_packet_rate, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
204,207.41,0,0.125,0,0.186,0.802,0.719,0.067,1,"hash_mismatch_rate, device_activity_variance"
361,19.61,0,0.036,0,0.407,0.114,0.503,0.013,1,transaction_latency_drift
1162,462.84,0,0.035,0,0.342,0.32,0.818,0.222,1,"network_packet_rate, transaction_latency_drift, response_time_deviation"
830,137.88,1,0.038,1,0.429,0.057,0.808,0.256,1,"network_protocol, smart_contract_violation, transaction_latency_drift, response_time_deviation"
676,167.03,1,0.099,0,0.123,0.36,0.864,0.367,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
1365,163.15,1,0.165,1,0.395,0.813,0.71,0.129,1,"network_packet_size, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
682,270.1,0,0.113,1,0.106,0.718,0.315,0.023,1,"hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
227,63.13,1,0.112,0,0.118,0.414,0.42,0.243,1,"network_protocol, hash_mismatch_rate, response_time_deviation"
868,381.15,0,0.129,0,0.027,0.127,0.949,0.296,1,"network_packet_rate, hash_mismatch_rate, response_time_deviation"
652,447.18,1,0.111,1,0.411,0.245,0.789,0.016,1,"network_packet_rate, network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift"
651,456.55,0,0.026,1,0.114,0.487,0.753,0.413,1,"network_packet_rate, smart_contract_violation, response_time_deviation"
1343,462.58,0,0.035,1,0.458,0.623,0.202,0.451,1,"network_packet_size, network_packet_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, vital_stats_stability, response_time_deviation"
1477,242.52,0,0.143,1,0.318,0.214,0.543,0.228,1,"network_packet_size, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, response_time_deviation"
401,232.77,1,0.14,1,0.196,0.625,0.235,0.061,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance, vital_stats_stability"
837,328.35,0,0.15,0,0.499,0.062,0.836,0.341,1,"network_packet_rate, hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
329,206.78,1,0.152,0,0.153,0.766,0.495,0.498,1,"network_protocol, hash_mismatch_rate, device_activity_variance, response_time_deviation"
1353,44.66,0,0.106,0,0.28,0.321,0.348,0.061,1,"network_packet_size, hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
1128,33.96,0,0.155,0,0.211,0.236,0.55,0.266,1,"hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
205,83.61,0,0.097,0,0.007,0.845,0.835,0.098,1,"hash_mismatch_rate, device_activity_variance"
914,365.83,1,0.066,0,0.421,0.877,0.37,0.016,1,"network_packet_rate, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, vital_stats_stability"
955,187.23,0,0.154,0,0.347,0.148,0.346,0.084,1,"hash_mismatch_rate, transaction_latency_drift, vital_stats_stability"
812,263.84,1,0.195,1,0.17,0.269,0.587,0.36,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, response_time_deviation"
202,93.9,1,0.129,1,0.154,0.681,0.949,0.104,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, device_activity_variance"
217,158.89,0,0.199,0,0.448,0.275,0.408,0.01,1,"hash_mismatch_rate, transaction_latency_drift"
840,323.78,1,0.034,0,0.174,0.238,0.45,0.075,1,"network_packet_rate, network_protocol"
848,433.03,0,0.136,0,0.049,0.619,0.917,0.28,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance, response_time_deviation"
1405,70.51,1,0.2,0,0.496,0.776,0.574,0.38,1,"network_packet_size, network_protocol, hash_mismatch_rate, transaction_latency_drift, device_activity_variance, response_time_deviation"
314,225.27,0,0.085,0,0.374,0.169,0.75,0.319,1,"hash_mismatch_rate, transaction_latency_drift, response_time_deviation"
894,135.26,0,0.118,0,0.181,0.877,0.508,0.001,1,"hash_mismatch_rate, device_activity_variance"
472,76.35,0,0.17,1,0.492,0.621,0.693,0.322,1,"hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance, response_time_deviation"
622,22.82,0,0.053,0,0.374,0.232,0.811,0.078,1,"hash_mismatch_rate, transaction_latency_drift"
676,309.22,0,0.102,0,0.163,0.839,0.22,0.4,1,"network_packet_rate, hash_mismatch_rate, device_activity_variance, vital_stats_stability, response_time_deviation"
513,26.42,1,0.042,0,0.258,0.562,0.948,0.191,1,"network_protocol, transaction_latency_drift"
632,239.15,1,0.106,1,0.442,0.632,0.68,0.056,1,"network_protocol, hash_mismatch_rate, smart_contract_violation, transaction_latency_drift, device_activity_variance"
